,PN,REF,ISD,CPC,IPC,b_cits
360,8145639,3,2012-03-27,3,1,"['4658370', '5052043', '5138377', '5170443', '5398300', '5721910', '5754840', '5875284', '5991751', '5999907', '6029195', '6038561', '6175824', '6452613', '6519599', '6556992', '6564198', '6665656', '6978115', '7076415', '7130848', '7188069', '7590287', '7606757', '2001/0028362', '2001/0042034', '2002/0022974', '2002/0062302', '2002/0103682', '2002/0107824', '2002/0178029', '2002/0184130', '2003/0004936', '2003/0061140', '2003/0105727', '2003/0158800', '2003/0212572', '2003/0220897', '2004/0015329', '2004/0103112', '2004/0122841', '2004/0170339', '2004/0220842', '2005/0010515', '2005/0028076', '2005/0097093', '2005/0114168', '2005/0210008', '2005/0222869', '2005/0234685', '2005/0261927', '2006/0020583', '2007/0208719', '2008/0091620']"
361,8137199,4,2012-03-20,11,4,"['5890963', '7287052', '7372463', '7428588', '7828657', '2003/0008712', '2004/0116186', '2004/0143852', '2005/0026697', '2005/0071306', '2005/0225552', '2006/0179022', '2007/0054717', '2007/0097832', '2007/0184903', '2007/0214135', '2008/0005332', '2008/0140595']"
362,8135655,40,2012-03-13,6,3,"['2001/0040590', '2006/0206502', '2008/0162498']"
363,8126832,11,2012-02-28,3,2,"['4850005', '5317742', '5806034', '5878393', '5884302', '6195638', '6510414', '6598039', '6687689', '6766328', '6792086', '6941553', '6980949', '2001/0047261', '2002/0032591', '2002/0035474', '2002/0165707', '2003/0115039', '2003/0187655', '2004/0047453', '2004/0203629', '2006/0036478', '2006/0106790']"
364,8949170,10,2015-02-03,15,2,['NULL']
365,8928493,4,2015-01-06,2,1,"['4257029', '5357436', '5696502', '6317058', '6339383', '6617981', '2007/0069920', '2009/0256911', '2010/0245568']"
366,8924218,12,2014-12-30,5,9,"['4570739', '5513716', '5673637', '5812978', '5944131', '6108592', '6290011', '6774795', '6842692', '7204328', '7263509', '7389208', '7536309', '7765029', '7914468', '8583286', '2001/0048291', '2002/0067282', '2004/0006422', '2004/0267442', '2005/0096098', '2005/0267826', '2005/0275322', '2005/0279551', '2007/0100511', '2007/0219711', '2007/0299371', '2008/0300777', '2011/0130940', '2011/0168478']"
367,8911296,74,2014-12-16,10,1,['NULL']
368,8898099,1,2014-11-25,5,1,"['4410983', '4558413', '5193189', '5307261', '5339425', '5444837', '5576946', '5636124', '5805442', '5812394', '5918233', '5975737', '5978578', '5982362', '6161051', '6201996', '6237004', '6243861', '6282455', '6493594', '6556980', '6560235', '6684264', '6782448', '6801920', '6819960', '6853920', '6854111', '6904457', '6973466', '6985779', '7069201', '7092771', '7130704', '7222131', '7263598', '7596615', '2002/0046221', '2002/0072928', '2004/0030460', '2008/0235357']"
369,8892417,90,2014-11-18,2,3,"['4992939', '5734916', '5802495', '6289363', '6976031', '7246315', '7333967', '7577634', '7610279', '7617199', '7617200', '7627565', '7644072', '7657518', '7836010', '7856390', '8046226', '8355903', '8374848', '8515737', '8630844', '8688434', '8775161', '2002/0083025', '2004/0138899', '2004/0255232', '2005/0027704', '2005/0028156', '2006/0031182', '2006/0212446', '2006/0271535', '2006/0277168', '2007/0132767', '2007/0185846', '2007/0185847', '2007/0185861', '2007/0185862', '2007/0185863', '2007/0185864', '2007/0185865', '2008/0313130', '2009/0019013', '2009/0030899', '2009/0049041', '2009/0144608']"
370,8886520,89,2014-11-11,2,3,"['4992939', '5734916', '5802495', '6289363', '6976031', '7246315', '7333967', '7577634', '7610279', '7617199', '7617200', '7627565', '7644072', '7657518', '7836010', '7856390', '8046226', '8355903', '8374848', '8515737', '8630844', '8688434', '8775161', '2002/0083025', '2004/0138899', '2004/0255232', '2005/0027704', '2005/0028156', '2006/0031182', '2006/0212446', '2006/0271535', '2006/0277168', '2007/0132767', '2007/0185846', '2007/0185847', '2007/0185861', '2007/0185862', '2007/0185863', '2007/0185864', '2007/0185865', '2008/0313130', '2009/0019013', '2009/0030899', '2009/0049041', '2009/0144608']"
371,8880453,1,2014-11-04,4,2,['NULL']
372,8880445,1,2014-11-04,4,1,['NULL']
373,8880392,5,2014-11-04,4,3,"['4821230', '4839853', '4849898', '5146406', '5237503', '5267156', '5278980', '5311429', '5365433', '5369575', '5377103', '5406480', '5477451', '5541837', '5579224', '5608622', '5619709', '5630121', '5652898', '5659765', '5675819', '5724593', '5799268', '5867811', '5873055', '5907821', '5913215', '5933822', '5987446', '5991710', '5995920', '6070134', '6081775', '6085162', '6163785', '6236958', '6253170', '6285978', '6321189', '6321191', '6330530', '6393389', '6473729', '6523028', '6697793', '6859800', '6871174', '6901399', '6925433', '7031910', '7054803', '2002/0116176', '2006/0129381']"
374,8874431,10,2014-10-28,3,2,"['4821230', '4839853', '4849898', '5146406', '5237503', '5278980', '5311429', '5365433', '5369575', '5377103', '5406480', '5477451', '5541837', '5579224', '5608622', '5619709', '5630121', '5652898', '5659765', '5675819', '5724593', '5799268', '5867811', '5873055', '5907821', '5913215', '5933822', '5987446', '5991710', '5995920', '6070134', '6081775', '6085162', '6163785', '6236958', '6253170', '6285978', '6321189', '6321191', '6330530', '6393389', '6473729', '6523028', '6697793', '6859800', '6871174', '6901399', '6925433', '7031910', '2002/0116176']"
375,8849580,7,2014-09-30,9,1,"['6605822', '7904283']"
376,8841534,1,2014-09-23,8,1,['NULL']
377,8834389,3,2014-09-16,5,1,"['4151831', '4465077', '4475158', '4530366', '4685471', '5137028', '5240010', '6278999', '6419637', '6547748', '7198600', '7413544', '7594889', '7771366', '7953613', '8152735', '8308652', '8313447', '8496597', '8540644', '2005/0245839', '2008/0262781', '2012/0238900', '2012/0265032', '2013/0065321']"
378,8818789,7,2014-08-26,4,2,"['4821230', '4839853', '4849898', '5146406', '5237503', '5267156', '5278980', '5311429', '5365433', '5369575', '5377103', '5406480', '5477451', '5541837', '5579224', '5608622', '5619709', '5630121', '5652898', '5659765', '5675819', '5724593', '5799268', '5867811', '5873055', '5907821', '5913215', '5933822', '5987446', '5991710', '5995920', '6047252', '6070134', '6081775', '6085162', '6098034', '6163785', '6208956', '6236958', '6253170', '6285978', '6321189', '6321191', '6330530', '6393389', '6473729', '6523028', '6697793', '6859800', '6871174', '6901399', '6925433', '7031910', '7054803', '2001/0047255', '2002/0116176']"
379,8813187,5,2014-08-19,4,1,['NULL']
380,8812534,8,2014-08-19,1,1,"['5519608', '5832474', '6269368', '6564213', '6701309', '8065316', '2002/0038597', '2002/0147724', '2002/0193991', '2003/0217052', '2004/0019487', '2004/0230574', '2005/0015250', '2005/0203878', '2005/0222981', '2005/0283468', '2006/0026013', '2006/0085391', '2006/0106769', '2006/0184925', '2006/0190436', '2006/0230005', '2006/0248078', '2006/0282416', '2007/0060114', '2007/0143307', '2007/0208561', '2008/0154856', '2009/0006343']"
381,8805773,3,2014-08-12,5,2,"['2003/0028585', '2005/0071306', '2009/0061989', '2009/0197686', '2010/0056275']"
382,8775332,80,2014-07-08,2,2,['NULL']
383,8775161,93,2014-07-08,3,4,"['4992939', '5734916', '5802495', '6289363', '6976031', '7246315', '7333967', '7577634', '7610279', '7617199', '7617200', '7627565', '7644072', '7657518', '7836010', '7856390', '8046226', '8355903', '8374848', '8515737', '8630844', '8688434', '2002/0083025', '2004/0138899', '2004/0255232', '2005/0027704', '2005/0028156', '2006/0031182', '2006/0212446', '2006/0271535', '2006/0277168', '2007/0132767', '2007/0185846', '2007/0185847', '2007/0185861', '2007/0185862', '2007/0185863', '2007/0185864', '2007/0185865', '2008/0313130', '2009/0019013', '2009/0030899', '2009/0049041', '2009/0144608']"
384,8762316,4,2014-06-24,16,2,"['6131085', '6904408', '7242752', '7319992', '7539484', '7596498', '7609829', '7653627', '2002/0035474', '2003/0014489', '2003/0018476', '2003/0125958', '2003/0171925', '2004/0006478', '2005/0234727', '2007/0173237', '2008/0015865', '2008/0184164', '2008/0306743', '2009/0070129', '2009/0081995', '2009/0083249', '2009/0125397', '2009/0157749', '2010/0017260', '2010/0058183']"
385,8751428,4,2014-06-10,16,1,"['6131085', '6904408', '7242752', '7319992', '7539484', '7596498', '7609829', '7653627', '2002/0035474', '2003/0014489', '2003/0018476', '2003/0125958', '2003/0171925', '2004/0006478', '2005/0234727', '2007/0173237', '2008/0015865', '2008/0184164', '2008/0306743', '2009/0070129', '2009/0081995', '2009/0083249', '2009/0125397', '2009/0157749', '2010/0017260']"
386,8738562,0,2014-05-27,6,2,"['8135655', '8572012', '2001/0040590', '2006/0206502', '2008/0162498']"
387,8731234,61,2014-05-20,7,1,"['5247356', '5633995', '6323885', '6333749', '6385541', '6396491', '6446053', '6496184', '6636803', '6836270', '6980690', '7003400', '7006977', '7133551', '7305983', '7324666', '7343268', '7424133', '7787659', '7873238', '7991226', '7995799', '8068643', '8078436', '8233666', '2002/0154174', '2003/0014224', '2003/0028393', '2003/0115163', '2003/0147553', '2003/0171957', '2003/0233310', '2004/0047498', '2004/0105090', '2004/0105573', '2004/0220906', '2005/0201618', '2005/0203768', '2005/0288959', '2006/0133699', '2006/0137736', '2006/0200311', '2006/0232605', '2006/0262112', '2006/0265287', '2007/0150366', '2007/0179757', '2007/0291994', '2008/0021683', '2008/0105045', '2008/0123994', '2008/0204570', '2008/0221843', '2008/0231700', '2008/0262789', '2008/0273753', '2008/0310756', '2009/0096884', '2009/0097744', '2009/0132210', '2009/0132436', '2009/0141020', '2009/0304227', '2010/0034483', '2010/0110074', '2010/0114537', '2010/0296693', '2011/0096083', '2011/0187713']"
388,8721412,70,2014-05-13,7,1,"['6763273', '6763325', '7260560', '2004/0224741', '2004/0224742', '2004/0266506', '2005/0148388', '2006/0030407', '2006/0035692', '2006/0148546', '2007/0066403', '2007/0117615', '2007/0149288', '2007/0149290', '2007/0191101', '2009/0163272']"
389,8700013,0,2014-04-15,10,4,"['2001/0036224', '2003/0096625', '2006/0149624', '2007/0022442', '2007/0150347', '2008/0065481', '2008/0176534', '2009/0222329']"
390,8694455,9,2014-04-08,7,1,"['3749892', '3933305', '4750121', '4839804', '4989141', '5128861', '5148365', '5191522', '5193055', '5224034', '5237495', '5237946', '5311421', '5317504', '5361201', '5377116', '5406477', '5414621', '5435565', '5471611', '5542420', '5644727', '5649181', '5668591', '5680305', '5704045', '5704055', '5706495', '5737581', '5742775', '5768475', '5774761', '5774873', '5774881', '5794219', '5799287', '5802501', '5806047', '5809282', '5812404', '5812987', '5812988', '5819237', '5825653', '5852811', '5875431', '5889823', '5933345', '5938594', '5950182', '5951300', '5985559', '6014629', '6032119', '6064971', '6064972', '6078901', '6092056', '6112188', '6125355', '6134536', '6148293', '6173276', '6189011', '6207936', '6209124', '6219649', '6221009', '6263314', '6278899', '6278981', '6282531', '6301584', '6308162', '6315735', '6332163', '6336103', '6366934', '6375469', '6411939', '6418448', '6487459', '6499843', '6510430', '6518069', '6576471', '6584507', '6591232', '6612986', '6625577', '6645124', '6654389', '6654469', '6654649', '6671673', '6684204', '6695795', '6700923', '6732095', '6735483', '6738677', '6738753', '6745114', '6757689', '6757898', '6823253', '6826521', '6826531', '6836773', '6866024', '6892155', '6934931', '6996811', '7006939', '7006992', '7039475', '7047089', '7050866', '7091779', '7142307', '7146353', '7155390', '7155510', '7162427', '7167837', '7177822', '7188637', '7219040', '7219087', '7222095', '7224761', '7242856', '7243081', '7249004', '7249007', '7249089', '7272820', '7283982', '7296734', '7299080', '7328183', '7347365', '7395235', '7426423', '7433809', '7496534', '7542932', '7561158', '7596523', '7599870', '7606727', '7617141', '7617142', '7624054', '7640201', '7689494', '7716073', '7716108', '7725374', '7756770', '7774179', '7778856', '7778910', '7788195', '7799761', '7827557', '7840468', '7848939', '7853509', '7870061', '7877308', '7912738', '7921061', '7949597', '8005739', '8041580', '8065209', '8082207', '8108290', '8255346', '8311922', '8335732', '8401950', '8473431', '8548934', '8560359', '8566127', '8566128', '8566206', '8566219', '8566222', '8566229', '8577712', '8577769', '8577774', '8577788', '8583533', '8589190', '8595792', '8595845', '2001/0009590', '2002/0002520', '2002/0016758', '2002/0023034', '2002/0052820', '2002/0097245', '2003/0028267', '2003/0046130', '2003/0069986', '2003/0083973', '2003/0115090', '2003/0115128', '2003/0120433', '2003/0233310', '2004/0015906', '2004/0124742', '2005/0144664', '2005/0193739', '2005/0197994']"
391,8693751,3,2014-04-08,7,1,"['4817050', '5239060', '5692107', '5733729', '5769074', '5779634', '5837832', '5839438', '5861242', '5878746', '5911687', '5936078', '5966712', '5970500', '5981185', '6004755', '6040138', '6063026', '6083726', '6087112', '6107073', '6136541', '6263287', '6338968', '7062076']"
392,8688613,1,2014-04-01,5,2,"['5794207', '6052667', '6085169', '6119100', '6223163', '6230150', '6267670', '6298329', '6298331', '6507279', '6553346', '6567787', '6598024', '7028894', '7072850', '7248855', '7272569', '7318041', '7389919', '7437344', '7542919', '7677974', '7689508', '7739140', '7756746', '7770184', '7806758', '7877611', '7922581', '8041667', '8224760', '8306937', '2003/0018531', '2003/0083936', '2005/0055236', '2005/0203771', '2006/0033625', '2006/0052888', '2006/0059032', '2008/0306790', '2008/0313052', '2008/0313122', '2009/0024481', '2009/0030797', '2009/0030798', '2009/0125380', '2009/0125394', '2009/0125396', '2009/0132344', '2009/0182630', '2009/0182677']"
393,8686272,3,2014-04-01,5,1,['NULL']
394,8678943,3,2014-03-25,4,1,"['5419562', '5772522', '6039658', '6402635', '7264554', '7406386', '7871333', '2005/0255932', '2007/0192045', '2007/0207873']"
395,8666772,9,2014-03-04,4,2,['NULL']
396,8655679,1,2014-02-18,4,2,"['5583758', '5737539']"
397,8600924,1,2013-12-03,4,1,"['5353219', '5794207', '6026375', '6052667', '6055513', '6085169', '6119100', '6223163', '6230150', '6267670', '6298329', '6298331', '6452498', '6507279', '6553346', '6567787', '6598024', '6646659', '6920319', '6920431', '6996460', '7028894', '7072850', '7248855', '7272569', '7318041', '7437344', '7542919', '7677974', '7689508', '7739140', '7769623', '7770184', '7806758', '7877611', '7922581', '8041667', '8103520', '8224760', '8306937', '2003/0018531', '2003/0083936', '2004/0002900', '2004/0104930', '2004/0230440', '2004/0230496', '2005/0055236', '2005/0194433', '2005/0203771', '2006/0033625', '2006/0052888', '2006/0059032', '2008/0208787', '2008/0306790', '2008/0313052', '2008/0313122', '2009/0024481', '2009/0030797', '2009/0030798', '2009/0125380', '2009/0125394', '2009/0125396', '2009/0132344', '2009/0182630', '2009/0182677']"
398,8593993,0,2013-11-26,5,2,['NULL']
399,8589323,8,2013-11-19,2,1,"['4866635', '5602990', '5649196', '5659743', '5787409', '5802364', '5812751', '5835911', '5897635', '5933647', '5950010', '5974547', '6012152', '6029196', '6067582', '6144959', '6170065', '6189101', '6209089', '6212660', '6282711', '6292827', '6301612', '6311221', '6314428', '6317761', '6349137', '6356915', '6363400', '6366296', '6378035', '6421777', '6449658', '6459499', '6463530', '6473794', '6477531', '6490677', '6536037', '6553375', '6556950', '6574618', '6606744', '6625651', '6625754', '6633782', '6636857', '6654797', '6654801', '6694375', '6697852', '6704886', '6718464', '6728530', '6735625', '6751658', '6757729', '6757894', '6816462', '6816882', '6820180', '6871210', '6880108', '6885481', '6886020', '6915343', '6954853', '6954930', '6959235', '6985967', '7003560', '7003663', '7024471', '7058698', '7080118', '7143307', '7149698', '7175078', '7178166', '7194445', '7200779', '7210143', '7237122', '7260597', '7287053', '7328367', '7337311', '7392046', '7401125', '7480822', '7487383', '7512584', '7571467', '7624086', '7627694', '7664834', '7698487', '7788524', '7840514', '7844686', '7908339', '8099378', '8175418', '8234238', '8307239', '2001/0034736', '2001/0037323', '2001/0037399', '2001/0037400', '2001/0044850', '2001/0049793', '2002/0007418', '2002/0013827', '2002/0035674', '2002/0042833', '2002/0049764', '2002/0083183', '2002/0087625', '2002/0087717', '2002/0087883', '2002/0087963', '2002/0091763', '2002/0094868', '2002/0104080', '2002/0107920', '2002/0107945', '2002/0116585', '2002/0124092', '2002/0129089', '2002/0138640', '2002/0157089', '2002/0161868', '2002/0161908', '2002/0169797', '2002/0188941', '2003/0004882', '2003/0005096', '2003/0009538', '2003/0033379', '2003/0036882', '2003/0037328', '2003/0041136', '2003/0046371', '2003/0051128', '2003/0055878', '2003/0078960', '2003/0110188', '2003/0126242', '2003/0140160', '2003/0191730', '2003/0204562', '2003/0233383', '2003/0233493', '2004/0010716', '2004/0068554', '2004/0073787', '2004/0093492', '2004/0104927', '2004/0107273', '2004/0123153', '2004/0128346', '2004/0148306', '2004/0180721', '2004/0193876', '2004/0201604', '2004/0236843', '2004/0243928', '2005/0027846', '2005/0033808', '2005/0044197', '2005/0044544', '2005/0060281', '2005/0108297', '2005/0108546', '2005/0108593', '2005/0144218', '2005/0149729', '2005/0160289', '2005/0193245', '2005/0198196', '2005/0216524', '2005/0216902', '2005/0226059', '2005/0256952', '2005/0262503', '2005/0268145', '2005/0273486', '2005/0283606', '2005/0286435', '2006/0021040', '2006/0031377', '2006/0031407', '2006/0031529', '2006/0041641', '2006/0041759', '2006/0047716', '2006/0047946', '2006/0074943', '2006/0095705', '2006/0129459', '2006/0143709', '2006/0149955', '2006/0179061', '2006/0224544', '2006/0224545', '2006/0233310', '2007/0078982', '2007/0094269', '2007/0143374', '2007/0174658', '2007/0174690', '2007/0185936', '2007/0233633', '2007/0239905', '2007/0271290', '2007/0271428', '2007/0274315', '2007/0276836', '2008/0016387', '2008/0034019', '2008/0034071', '2008/0077622', '2008/0077630', '2008/0127294', '2008/0209142', '2008/0216168', '2008/0294860', '2008/0313632', '2009/0094362', '2010/0050011', '2010/0125770', '2011/0047118', '2012/0198154', '2012/0272099', '2013/0031405']"
400,8589082,5,2013-11-19,5,1,['']
401,8583570,0,2013-11-12,5,1,['NULL']
402,8577819,3,2013-11-05,4,5,"['5353219', '5794207', '6026375', '6052667', '6085169', '6119100', '6223163', '6230150', '6267670', '6298329', '6298331', '6507279', '6553346', '6567787', '6598024', '6646659', '6920431', '6996460', '7028894', '7072850', '7248855', '7272569', '7318041', '7437344', '7542919', '7587334', '7677974', '7689508', '7739140', '7770184', '7806758', '7877611', '7922581', '7974901', '7974902', '8041667', '8103520', '8224760', '8251810', '8262471', '8306937', '2003/0018531', '2003/0083936', '2004/0002900', '2004/0104930', '2004/0230440', '2004/0230496', '2005/0055236', '2005/0194433', '2005/0203771', '2006/0033625', '2006/0052888', '2006/0059032', '2008/0306790', '2008/0313052', '2008/0313122', '2009/0024481', '2009/0030797', '2009/0030798', '2009/0125380', '2009/0125394', '2009/0125396', '2009/0132344', '2009/0182630', '2009/0182677']"
403,8572012,1,2013-10-29,6,3,"['8135655', '2001/0040590', '2006/0206502', '2008/0162498']"
404,8554705,3,2013-10-08,5,1,"['6106395', '6648760', '7296007', '7636697', '7677967', '7854653', '7887416', '2003/0118971', '2005/0089825', '2005/0182693', '2006/0142903', '2007/0082729', '2007/0207846', '2008/0039167', '2010/0144424', '2010/0233667', '2010/0279762', '2010/0304839', '2011/0086686']"
405,8549074,3,2013-10-01,3,1,"['5796396', '6363301', '6396509', '6559863', '6657643', '6728760', '6907571', '7519661', '8326928', '2001/0047261', '2003/0028380', '2003/0125927', '2005/0222907']"
406,8543343,17,2013-09-24,5,1,"['6785592', '7519485', '7881889', '2004/0225649', '2005/0043862', '2007/0143045', '2011/0130886']"
407,8531659,0,2013-09-10,5,1,"['5313568', '6370178', '7352463', '7477377', '7800751', '7876443', '2006/0158644', '2006/0232772', '2008/0212217']"
408,8527445,15,2013-09-03,1,1,"['5214744', '6014461', '6499025', '6502082', '6529614', '6724915', '6754368', '6757571', '6850627', '7286707', '7454037', '7466841', '7639841', '7974475', '8005261', '2001/0036293', '2001/0043717', '2004/0267682', '2005/0104959', '2005/0105765', '2005/0265582', '2008/0025568', '2009/0028347', '2009/0116747', '2009/0304230', '2010/0008540', '2010/0021009', '2010/0322534', '2012/0011119', '2012/0011142', '2012/0105634']"
409,8521677,3,2013-08-27,3,3,['NULL']
410,8519249,4,2013-08-27,8,1,['NULL']
411,8515892,3,2013-08-20,3,5,['NULL']
412,8515676,1,2013-08-20,1,4,"['7233936', '7357197', '7831530', '2004/0179915']"
413,8506372,70,2013-08-13,7,1,"['6763273', '6763325', '7260560', '2004/0224741', '2004/0224742', '2004/0266506', '2005/0148388', '2006/0030407', '2006/0035692', '2006/0148546', '2007/0066403', '2007/0191101', '2009/0163272']"
414,9327194,1,2016-05-03,11,3,"['5890963', '6473084', '7287052', '7372463', '7428588', '7774335', '7797421', '7828657', '7937270', '8137199', '8561178', '2001/0055025', '2002/0015041', '2003/0008712', '2004/0030556', '2004/0116186', '2004/0133355', '2004/0143852', '2005/0026692', '2005/0026697', '2005/0067493', '2005/0071306', '2005/0225552', '2005/0288103', '2006/0026123', '2006/0046854', '2006/0053008', '2006/0120619', '2006/0179022', '2006/0203739', '2006/0258462', '2007/0054717', '2007/0097832', '2007/0149279', '2007/0184903', '2007/0214135', '2007/0293319', '2008/0005332', '2008/0098064', '2008/0140595', '2008/0189789', '2008/0242422', '2008/0242426', '2008/0263207', '2008/0293488', '2009/0144059', '2009/0203449', '2010/0056276']"
415,9324023,0,2016-04-26,8,4,"['5794207', '6052667', '6085169', '6119100', '6223163', '6230150', '6267670', '6298329', '6298331', '6507279', '6553346', '6567787', '6598024', '6985879', '7028894', '7072850', '7162458', '7184990', '7194442', '7272569', '7318041', '7370007', '7389919', '7437344', '7505921', '7542919', '7756746', '8041667', '8224760', '8306937', '8577819', '8600924', '8688613', '8762209', '9117224', '2003/0018531', '2003/0083936', '2005/0055236', '2005/0203771', '2006/0033625', '2006/0052888', '2006/0059032', '2007/0250388', '2008/0306790', '2008/0313052', '2008/0313122', '2009/0024481', '2009/0030797', '2009/0030798', '2009/0125380', '2009/0125396', '2009/0132344', '2009/0182677']"
416,9311605,2,2016-04-12,14,2,"['5884225', '2006/0196158', '2012/0109614', '2013/0173321', '2016/0026940']"
417,9311604,0,2016-04-12,5,4,"['5915225', '6160903', '6387027', '6498861', '7177642', '7614043', '7778632', '7788227', '7873959', '8099429', '2001/0053688', '2003/0032408', '2004/0019787', '2005/0009520', '2005/0015505', '2005/0227720', '2005/0273399', '2007/0287419', '2008/0146280', '2010/0120422', '2013/0064101']"
418,9299218,17,2016-03-29,10,3,"['4582324', '5749785', '6450887', '6511375', '6729961', '6749500', '6761632', '6786818', '7530892', '7658672', '7666082', '7785187', '7798896', '7931531', '7942735', '7950993', '8012014', '8162735', '8167309', '8348753', '8353757', '8376833', '8393949', '8430735', '8449375', '8613649', '8651960', '8657680', '8721433', '8764567', '8777735', '8819758', '8845409', '8864564', '8864572', '8961300', '8961301', '8968082', '8968104', '8974284', '8986096', '8992311', '8992312', '9070252', '9070253', '9076294', '9076295', '9092939', '9092940', '9214063', '2001/0007828', '2001/0008842', '2002/0010013', '2002/0049082', '2002/0077165', '2002/0151363', '2002/0169018', '2003/0003980', '2003/0013514', '2003/0054879', '2003/0060276', '2003/0199312', '2003/0220133', '2004/0072618', '2004/0229671', '2004/0235542', '2004/0259631', '2005/0054441', '2005/0143170', '2006/0082056', '2006/0111172', '2006/0121973', '2006/0135249', '2006/0154720', '2006/0154721', '2006/0258459', '2006/0294568', '2007/0060254', '2007/0060295', '2007/0173327', '2007/0178969', '2007/0265060', '2007/0265068', '2007/0293305', '2008/0045295', '2008/0064478', '2008/0070669', '2008/0108425', '2008/0176637', '2008/0200225', '2008/0270288', '2008/0300055', '2009/0093299', '2009/0227367', '2009/0227377', '2009/0247272', '2009/0291736', '2009/0312094', '2010/0016056', '2010/0035679', '2010/0062840', '2010/0120491', '2010/0144428', '2010/0304843', '2011/0086702', '2011/0212766', '2011/0218028', '2011/0224001', '2011/0224002', '2011/0250974', '2012/0071223', '2012/0100918', '2012/0172112', '2012/0178514', '2012/0202571', '2012/0214576', '2012/0244923', '2012/0302312', '2012/0309499', '2012/0315979', '2012/0315981', '2012/0322545', '2013/0072288', '2013/0102372', '2013/0122999', '2013/0165209', '2013/0165210', '2013/0172059', '2013/0190074', '2013/0217471', '2013/0225272', '2013/0225298', '2013/0237326', '2013/0244764', '2013/0244765', '2013/0252687', '2013/0252693', '2013/0252718', '2013/0324220', '2013/0324228', '2013/0337887', '2014/0024437', '2014/0024442', '2014/0024454', '2014/0040765', '2014/0080585', '2014/0082645', '2014/0087851', '2014/0094274', '2014/0135084', '2014/0274263', '2014/0274265', '2014/0274266', '2014/0274267', '2014/0274268', '2014/0274269', '2014/0274270', '2014/0274271', '2014/0274272', '2014/0274325', '2014/0274326', '2014/0274327', '2014/0274328', '2014/0274329', '2014/0274330', '2014/0274331', '2014/0274333', '2014/0274334', '2014/0274335', '2014/0274336', '2014/0274337', '2014/0274338', '2014/0274339', '2014/0274340', '2014/0274352', '2014/0274365', '2014/0302905', '2015/0170470', '2015/0170471', '2015/0199875', '2015/0206389', '2015/0332554']"
419,9299022,1,2016-03-29,6,1,['NULL']
420,9292796,7,2016-03-22,6,4,"['8209124', '8494774', '8744822', '8983224', '9009087', '9031884', '9037521', '9076118', '9087312', '9098654', '9140824', '9201991']"
421,9280745,2,2016-03-08,2,3,"['5722418', '6618734', '7062390', '7080057', '7305304', '8095480', '8121920', '8359255', '8676717', '8700597', '8719179', '8818910', '8931058', '8959035', '2002/0055866', '2003/0065554', '2009/0144107', '2009/0187414', '2011/0055098', '2013/0006717', '2014/0279689', '2014/0297551', '2014/0324521', '2014/0344271', '2014/0379555', '2015/0025928', '2015/0063713', '2015/0066739', '2015/0332169']"
422,9275734,1,2016-03-01,3,3,"['5946704', '6108747', '7861030', '2002/0122337']"
423,9269053,17,2016-02-23,2,2,"['2009/0106239', '2010/0077301', '2010/0205020', '2010/0253967', '2010/0312725']"
424,9262688,13,2016-02-16,15,13,"['7689529', '7697761', '7698236', '7721336', '7734400', '7734451', '7739337', '7742103', '7761742', '7769512', '7783580', '7784295', '7792746', '7792750', '7797268', '7801840', '7805396', '7805397', '7805984', '7817854', '7832511', '7836496', '7840500', '7844564', '7853538', '7857976', '7864552', '7869989', '7895135', '7925874', '7930265', '7934499', '7941350', '7966061', '7974455', '7991754', '7999857', '8004544', '8015196', '8016319', '8054592', '8077983', '8108207', '2009/0281906']"
425,9231707,0,2016-01-05,6,3,['NULL']
426,9208556,4,2015-12-08,18,8,"['5657362', '5768333', '5836872', '6901156', '7155043', '7184582', '7231074', '7298883', '7333648', '7466848', '7646902', '7689016', '7761240', '7773791', '2004/0190763']"
427,9208147,80,2015-12-08,2,2,"['4992939', '5734916', '5802495', '6289363', '6976031', '7246315', '7333967', '7577634', '7610279', '7617199', '7617200', '7627565', '7644072', '7657518', '7716116', '7778895', '7836010', '7856390', '7865496', '8046226', '8355903', '8374848', '8463695', '8494944', '8515737', '8630844', '8676691', '8688434', '8775161', '8843363', '8886520', '8892417', '2002/0083025', '2004/0138899', '2004/0255232', '2005/0027704', '2005/0028156', '2005/0125213', '2006/0031182', '2006/0212446', '2006/0271535', '2006/0277168', '2007/0132767', '2007/0185846', '2007/0185847', '2007/0185861', '2007/0185862', '2007/0185863', '2007/0185864', '2007/0185865', '2008/0313130', '2009/0019013', '2009/0030899', '2009/0049041', '2009/0144608', '2011/0087486']"
428,9202344,1,2015-12-01,5,1,['NULL']
