,PN,REF,ISD,CPC,IPC,b_cits
83,6018732,44,2000-01-25,3,4,"['4977529', '5002491', '5189402', '5239617', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845', '5893123']"
84,6018731,53,2000-01-25,3,4,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
85,6018730,93,2000-01-25,2,4,"['4847784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5267865', '5310349', '5311422', '5317688', '5359701', '5372507', '5441415', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
86,6016486,49,2000-01-18,2,3,"['4622013', '4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845']"
87,6003021,67,1999-12-14,2,3,"['4622013', '4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845']"
88,5987443,108,1999-11-16,3,3,"['4977529', '5002491', '5189402', '5267865', '5310349', '5311422', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
89,5966683,9,1999-10-12,5,5,"['5504692', '5724254']"
90,5950194,66,1999-09-07,20,8,"['4972349', '5265065', '5278980', '5293616', '5303361', '5375235', '5392428', '5557722', '5598557']"
91,5944839,117,1999-08-31,1,2,"['4796206', '5455947', '5481481', '5619656', '5809493']"
92,5943652,174,1999-08-24,7,2,"['4092718', '4212069', '4799162', '4937743', '5099431', '5122929', '5177684', '5241465', '5255181', '5295065', '5325292']"
